Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years 	65 to 74 years	75 to 84 years	85 years and over
*** ALL CAUSES ***	TOTAL	83317	413	510	598	832	137	84	98	306	598	1429	2414	6116	11491	16069	20340	23403
*** ALL CAUSES ***	W M	32367	114	149	178	256	48	28	33	138	273	613	986	2614	4956	7010	8427	6985
*** ALL CAUSES ***	W F	32753	79	97	122	167	36	26	30	43	97	312	675	1648	3218	5386	8287	12828
*** ALL CAUSES ***	W U	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
*** ALL CAUSES ***	B M	8458	108	132	151	207	23	17	19	89	155	324	367	984	1778	1945	1519	1031
*** ALL CAUSES ***	B F	8353	91	104	115	155	21	11	12	22	48	129	310	738	1285	1436	1813	2373
*** ALL CAUSES ***	O M	747	11	16	18	27	4	1	3	13	17	32	45	84	146	156	154	65
*** ALL CAUSES ***	O F	637	8	10	12	18	5	1	1	1	8	19	31	48	108	136	140	121
I. Certain infections and parasitic diseases	TOTAL	2578	0	1	4	19	6	4	0	4	10	47	85	307	459	489	587	561
I. Certain infections and parasitic diseases	W M	883	0	0	2	4	1	0	0	1	0	6	21	96	174	185	213	182
I. Certain infections and parasitic diseases	W F	941	0	0	0	4	2	3	0	3	2	9	24	72	114	177	255	276
I. Certain infections and parasitic diseases	B M	393	0	1	1	8	2	0	0	0	6	19	23	82	103	64	50	36
I. Certain infections and parasitic diseases	B F	324	0	0	0	2	1	1	0	0	2	11	16	52	60	57	61	61
I. Certain infections and parasitic diseases	O M	19	0	0	1	1	0	0	0	0	0	2	1	3	4	1	6	1
I. Certain infections and parasitic diseases	O F	18	0	0	0	0	0	0	0	0	0	0	0	2	4	5	2	5
II. Neoplasms	TOTAL	19028	0	1	2	3	8	12	8	20	19	110	390	1538	3796	5364	4943	2817
II. Neoplasms	W M	8005	0	0	0	0	2	6	2	13	9	37	110	576	1520	2369	2233	1128
II. Neoplasms	W F	6881	0	1	2	3	5	4	3	5	6	41	153	494	1245	1855	1834	1233
II. Neoplasms	B M	2009	0	0	0	0	0	2	2	0	3	11	29	206	552	603	399	202
II. Neoplasms	B F	1812	0	0	0	0	0	0	0	2	1	15	80	234	407	437	404	232
II. Neoplasms	O M	171	0	0	0	0	0	0	0	0	0	2	11	16	36	55	41	10
II. Neoplasms	O F	150	0	0	0	0	1	0	1	0	0	4	7	12	36	45	32	12
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	TOTAL	389	0	1	1	2	4	2	0	1	4	9	17	46	53	75	82	94
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W M	109	0	1	1	2	2	2	0	0	1	3	2	9	19	15	31	23
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W F	143	0	0	0	0	2	0	0	0	0	1	5	7	13	29	33	53
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B M	59	0	0	0	0	0	0	0	1	1	2	4	17	8	15	8	3
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	B F	75	0	0	0	0	0	0	0	0	2	3	6	12	13	15	9	15
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	O F	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
IV. Endocrine, nutritional and metabolic diseases	TOTAL	3582	0	1	3	4	5	5	0	6	13	62	118	339	671	807	820	732
IV. Endocrine, nutritional and metabolic diseases	W M	1243	0	0	1	2	3	3	0	1	2	20	42	113	264	325	296	172
IV. Endocrine, nutritional and metabolic diseases	W F	1149	0	0	1	1	1	1	0	2	5	8	33	85	178	212	265	358
IV. Endocrine, nutritional and metabolic diseases	B M	529	0	0	0	0	0	1	0	2	3	20	23	69	118	143	103	47
IV. Endocrine, nutritional and metabolic diseases	B F	586	0	0	0	0	0	0	0	1	2	11	19	65	93	108	139	148
IV. Endocrine, nutritional and metabolic diseases	O M	41	0	1	1	1	0	0	0	0	1	2	1	5	8	9	10	4
IV. Endocrine, nutritional and metabolic diseases	O F	34	0	0	0	0	1	0	0	0	0	1	0	2	10	10	7	3
V. Mental, Behavioral and Neurodevelopmental disorders	TOTAL	5859	0	0	0	0	0	0	0	1	7	18	35	94	166	410	1550	3578
V. Mental, Behavioral and Neurodevelopmental disorders	W M	1589	0	0	0	0	0	0	0	0	2	7	23	45	78	150	519	765
V. Mental, Behavioral and Neurodevelopmental disorders	W F	3250	0	0	0	0	0	0	0	1	2	8	11	22	39	159	768	2240
V. Mental, Behavioral and Neurodevelopmental disorders	B M	334	0	0	0	0	0	0	0	0	2	1	0	21	28	50	103	129
V. Mental, Behavioral and Neurodevelopmental disorders	B F	635	0	0	0	0	0	0	0	0	1	1	1	6	20	44	143	419
V. Mental, Behavioral and Neurodevelopmental disorders	O M	20	0	0	0	0	0	0	0	0	0	1	0	0	1	4	5	9
V. Mental, Behavioral and Neurodevelopmental disorders	O F	31	0	0	0	0	0	0	0	0	0	0	0	0	0	3	12	16
VI. Diseases of the nervous system	TOTAL	5071	0	0	1	5	9	12	13	16	23	38	71	152	323	694	1367	2348
VI. Diseases of the nervous system	W M	1634	0	0	0	1	2	2	6	7	10	13	31	44	127	282	515	594
VI. Diseases of the nervous system	W F	2586	0	0	1	2	4	4	2	2	6	11	24	53	116	285	649	1428
VI. Diseases of the nervous system	B M	276	0	0	0	2	2	2	1	5	4	6	5	29	31	57	64	68
VI. Diseases of the nervous system	B F	517	0	0	0	0	0	3	4	2	2	6	11	22	47	58	119	243
VI. Diseases of the nervous system	O M	24	0	0	0	0	0	1	0	0	0	1	0	1	0	8	8	5
VI. Diseases of the nervous system	O F	34	0	0	0	0	1	0	0	0	1	1	0	3	2	4	12	10
VII. Diseases of the eye and adnexa	TOTAL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
VII. Diseases of the eye and adnexa	B F	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
VIII. Diseases of the ear and mastoid process	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IX. Diseases of the circulatory system	TOTAL	24032	1	3	5	18	4	3	5	11	28	129	501	1531	3087	4380	6039	8296
IX. Diseases of the circulatory system	W M	9460	1	1	1	5	2	2	0	3	11	38	188	715	1447	1997	2567	2485
IX. Diseases of the circulatory system	W F	9151	0	2	3	4	0	0	0	1	7	31	94	286	635	1229	2322	4542
IX. Diseases of the circulatory system	B M	2498	0	0	1	6	0	0	2	5	5	43	123	299	552	645	473	345
IX. Diseases of the circulatory system	B F	2533	0	0	0	3	2	1	2	2	4	14	76	191	369	425	585	859
IX. Diseases of the circulatory system	O M	213	0	0	0	0	0	0	1	0	1	3	12	28	52	51	44	21
IX. Diseases of the circulatory system	O F	177	0	0	0	0	0	0	0	0	0	0	8	12	32	33	48	44
