Cause of Death	Race and Sex	Total	1 Day	1 Week	28 Days	1 Year	1 to 4 years	5 to 9 years	10 to 14 years	15 to 19 years	20 to 24 years	25 to 34 years	35 to 44 years	45 to 54 years	55 to 64 years	65 to 74 years	75 to 84 years	85 years and over
*** ALL CAUSES ***	TOTAL	90498	403	494	591	873	126	87	107	389	718	1869	2673	6102	12710	18409	21365	24333
*** ALL CAUSES ***	W M	34784	75	93	114	193	33	32	32	145	300	801	1053	2453	5304	7860	8798	7691
*** ALL CAUSES ***	W F	34585	74	88	114	177	31	15	30	71	129	396	703	1696	3438	5979	8452	12985
*** ALL CAUSES ***	B M	9471	102	129	151	207	31	14	20	107	165	378	455	954	2065	2275	1750	1030
*** ALL CAUSES ***	B F	9170	88	103	124	183	19	13	13	36	51	163	291	731	1489	1824	1933	2289
*** ALL CAUSES ***	B U	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
*** ALL CAUSES ***	O M	1352	31	40	44	60	6	6	8	19	49	90	114	159	255	258	212	114
*** ALL CAUSES ***	O F	1132	31	39	42	51	6	7	4	11	24	41	55	109	159	213	220	224
*** ALL CAUSES ***	O U	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
I. Certain infections and parasitic diseases	TOTAL	2599	0	0	2	18	5	5	2	3	5	39	90	254	490	596	578	499
I. Certain infections and parasitic diseases	W M	880	0	0	0	3	1	1	1	1	1	8	27	85	173	223	200	156
I. Certain infections and parasitic diseases	W F	924	0	0	0	3	2	1	1	2	0	6	20	57	138	199	234	250
I. Certain infections and parasitic diseases	B M	377	0	0	2	5	2	0	0	0	1	20	24	54	94	87	60	30
I. Certain infections and parasitic diseases	B F	347	0	0	0	3	0	1	0	0	3	5	13	45	76	69	74	54
I. Certain infections and parasitic diseases	O M	31	0	0	0	3	0	2	0	0	0	0	4	8	4	4	4	2
I. Certain infections and parasitic diseases	O F	40	0	0	0	1	0	0	0	0	0	0	2	5	5	14	6	7
II. Neoplasms	TOTAL	20028	1	1	1	3	14	11	11	19	27	119	368	1482	4055	5851	5005	3028
II. Neoplasms	W M	8177	0	0	0	1	4	3	2	8	12	39	99	487	1610	2503	2213	1189
II. Neoplasms	W F	7130	1	1	1	1	3	3	5	3	7	40	138	517	1206	1990	1848	1349
II. Neoplasms	B M	2132	0	0	0	0	4	2	1	4	2	9	35	179	606	659	439	189
II. Neoplasms	B F	2009	0	0	0	0	1	2	2	2	2	18	58	227	500	542	395	256
II. Neoplasms	O M	312	0	0	0	1	2	1	1	1	1	7	15	28	75	92	69	19
II. Neoplasms	O F	268	0	0	0	0	0	0	0	1	3	6	23	44	58	65	41	26
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	TOTAL	431	0	0	0	2	3	2	2	6	2	14	17	46	66	98	79	89
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W M	125	0	0	0	1	0	0	0	0	0	1	3	15	19	30	30	26
III. Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	W F	148	0	0	0	1	1	1	1	2	1	0	2	6	16	33	30	49
